"id","name","status","kind","bytes","width","height","path"
"400","Landstalker","ok","png","56647","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-400.png"
"401","Bravura","ok","png","57359","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-401.png"
"402","Buffalo","ok","png","56788","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-402.png"
"403","Linerunner","ok","png","51109","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-403.png"
"404","Perenniel","ok","png","52451","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-404.png"
"405","Sentinel","ok","png","49110","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-405.png"
"406","Dumper","ok","png","62793","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-406.png"
"407","Firetruck","ok","png","67033","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-407.png"
"408","Trashmaster","ok","png","56134","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-408.png"
"409","Stretch","ok","png","68764","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-409.png"
"410","Manana","ok","png","49919","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-410.png"
"411","Infernus","ok","png","57503","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-411.png"
"412","Voodoo","ok","png","59215","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-412.png"
"413","Pony","ok","png","47341","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-413.png"
"414","Mule","ok","png","46590","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-414.png"
"415","Cheetah","ok","png","51446","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-415.png"
"416","Ambulance","ok","png","51348","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-416.png"
"417","Leviathan","ok","png","56521","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-417.png"
"418","Moonbeam","ok","png","58580","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-418.png"
"419","Esperanto","ok","png","53590","256","144","C:\Program Files (x86)\Advance Games\moonloader\res\report_desk_vehicles\veh-419.png"
